add-yield-none,8,40,640,339837,530,120
add-yield-none,12,40,960,529294,551,175
add-yield-none,2,80,320,244687,764,36
add-yield-none,4,80,640,297914,465,25
add-yield-none,8,80,1280,406679,317,64
add-yield-none,12,80,1920,475212,247,241
add-yield-none,2,100,400,269621,674,0
add-yield-none,4,100,800,316867,396,91
add-yield-none,8,100,1600,411622,257,143
add-yield-none,12,100,2400,494064,205,120
add-yield-none,2,1000,4000,1614474,403,75
add-yield-none,4,1000,8000,1601967,200,0
add-yield-none,8,1000,16000,1936155,121,36
add-yield-none,12,1000,24000,2599054,108,279
add-yield-none,2,10000,40000,14689592,367,-1319
add-yield-none,4,10000,80000,13316038,166,-49
add-yield-none,8,10000,160000,18194475,113,173
add-yield-none,12,10000,240000,23891080,99,201
add-yield-none,2,100000,400000,140607164,351,-4994
add-yield-none,4,100000,800000,145268276,181,-28488
add-yield-none,8,100000,1600000,172584854,107,-16335
add-yield-none,12,100000,2400000,230318377,95,-28727
add-none,1,100,200,114489,572,0
add-none,1,1000,2000,181764,90,0
add-none,1,10000,20000,268483,13,0
add-none,1,100000,200000,1496338,7,0
add-none,1,1000000,2000000,13768868,6,0
add-none,2,100,400,155605,389,0
add-none,2,1000,4000,185047,46,453
add-none,2,10000,40000,531768,13,-3147
add-none,2,100000,400000,4717341,11,-26738
add-none,2,1000000,4000000,38115681,9,-189918
add-none,4,100,800,187002,233,0
add-none,4,1000,8000,236009,29,588
add-none,4,10000,80000,1138197,14,-1358
add-none,4,100000,800000,11289810,14,-40609
add-none,4,1000000,8000000,99345595,12,-273048
add-yield-none,1,100,200,257332,1286,0
add-yield-none,1,1000,2000,1220500,610,0
add-yield-none,1,10000,20000,10913384,545,0
add-yield-none,1,100000,200000,109277671,546,0
add-yield-none,1,1000000,2000000,1038025246,519,0
add-yield-none,2,100,400,303750,759,0
add-yield-none,2,1000,4000,1425445,356,6
add-yield-none,2,10000,40000,13643022,341,111
add-yield-none,2,100000,400000,132807944,332,343
add-yield-none,2,1000000,4000000,1265972086,316,-10511
add-yield-none,4,100,800,332987,416,86
add-yield-none,4,1000,8000,1509257,188,98
add-yield-none,4,10000,80000,13440232,168,67
add-yield-none,4,100000,800000,133446735,166,28
add-yield-none,4,1000000,8000000,1342715185,167,-66157
add-yield-m,2,10000,40000,39099104,977,0
